Id,Nome,Squadra,Ruolo,fascia,FVM,QtI,produzione_attesa,p10,p90,pct_titolarita,n_stagioni,fm_L1,fm_storica,fm_shrunk,correzione_fm,base,div_modello,div_regressione,correzione,prezzo
1032,GiocatoreD21,Napoli,D,semitop,3,2,1.0,0.0,9.2,41.0,,,,,0.0,23.4,-0.0,0.0,-0.3,23.9
1034,GiocatoreD23,Atalanta,D,semitop,2,1,2.9,0.0,11.4,76.0,,,,,0.0,16.0,0.2,0.0,1.6,18.1
1035,GiocatoreD24,Torino,D,terza,1,1,0.0,0.0,5.5,49.0,,,,,0.0,8.5,0.0,0.0,0.1,8.8
1000,GiocatoreP01,Inter,P,top,53,47,43.4,27.6,59.2,41.0,,,,,0.0,290.6,-0.1,0.0,-1.0,295.8
1001,GiocatoreP02,Napoli,P,top,46,32,51.9,34.6,69.2,52.0,,,,,0.0,252.4,0.1,0.0,1.0,258.7
1002,GiocatoreP03,Roma,P,top,31,24,37.9,23.1,52.7,88.0,,,,,0.0,170.4,0.0,0.0,0.0,174.0
1003,GiocatoreP04,Atalanta,P,top,20,14,28.3,15.2,41.4,45.0,,,,,0.0,110.3,0.0,0.0,0.0,112.6
1004,GiocatoreP05,Torino,P,top,19,18,22.1,10.1,34.1,61.0,,,,,0.0,104.8,0.0,0.0,0.0,107.0
1005,GiocatoreP06,Inter,P,top,14,12,12.0,1.8,22.2,83.0,,,,,0.0,77.5,0.0,0.0,0.5,79.6
1006,GiocatoreP07,Napoli,P,top,14,13,8.1,0.0,17.6,49.0,,,,,0.0,77.5,-0.0,0.0,-0.5,78.6
1007,GiocatoreP08,Roma,P,top,8,7,0.1,0.0,8.1,49.0,,,,,0.0,44.7,-0.1,0.0,-1.0,44.6
1008,GiocatoreP09,Atalanta,P,semitop,3,2,5.2,0.0,14.1,43.0,,,,,0.0,17.4,0.1,0.0,1.3,19.1
1009,GiocatoreP10,Torino,P,semitop,3,2,0.0,0.0,7.2,62.0,,,,,0.0,17.4,-0.1,0.0,-1.3,16.4
1010,GiocatoreP11,Inter,P,semitop,1,1,0.0,0.0,5.4,81.0,,,,,0.0,6.5,0.0,0.0,0.2,6.7
1011,GiocatoreP12,Napoli,P,semitop,1,1,0.0,0.0,6.9,46.0,,,,,0.0,6.5,0.0,0.0,0.2,6.7
