Id,Nome,Squadra,Ruolo,QtI,FVM,pct_titolarita,tit_cont,giornate_perse_stimate,produzione_attesa,p10,p90,presenze_2025_26,fm_media_2025_26,gap_percentile
1019,GiocatoreD08,Atalanta,D,12,14,61.0,0.6,0.0,14.7,4.1,25.299999999999997,15,5.9,-0.06
1020,GiocatoreD09,Torino,D,10,12,53.0,0.5,0.0,15.4,4.6,26.200000000000003,2,7.2,-0.17
1021,GiocatoreD10,Inter,D,8,11,77.0,0.8,2.8,11.3,1.3000000000000007,21.3,36,6.7,-0.1
1022,GiocatoreD11,Napoli,D,8,10,62.0,0.6,0.0,4.1,0.0,12.799999999999999,3,6.8,0.19
1023,GiocatoreD12,Roma,D,6,9,62.0,0.6,0.0,3.6,0.0,12.2,15,5.9,0.01
1024,GiocatoreD13,Atalanta,D,5,7,50.0,0.5,0.0,7.9,0.0,17.3,35,5.7,0.06
1025,GiocatoreD14,Torino,D,5,6,41.0,0.4,0.0,2.6,0.0,11.1,15,5.8,-0.01
1026,GiocatoreD15,Inter,D,4,6,62.0,0.6,0.0,0.0,0.0,2.499999999999999,29,6.1,0.08
1027,GiocatoreD16,Napoli,D,5,6,83.0,0.8,0.0,16.4,5.399999999999999,27.4,12,6.1,0.19
1028,GiocatoreD17,Roma,D,3,4,70.0,0.7,0.0,10.7,0.7999999999999989,20.6,33,5.8,0.18
1029,GiocatoreD18,Atalanta,D,2,4,50.0,0.5,0.0,6.4,0.0,15.6,15,6.3,0.18
1030,GiocatoreD19,Torino,D,3,4,72.0,0.7,0.0,8.9,0.0,18.5,20,7.4,-0.12
1031,GiocatoreD20,Inter,D,3,4,53.0,0.5,0.0,7.1,0.0,16.4,19,6.4,0.17
1032,GiocatoreD21,Napoli,D,2,3,41.0,0.4,0.0,1.0,0.0,9.2,32,6.0,0.17
1033,GiocatoreD22,Roma,D,2,3,88.0,0.9,0.0,1.7,0.0,10.0,34,6.9,0.04
1034,GiocatoreD23,Atalanta,D,1,2,76.0,0.8,0.0,2.9,0.0,11.4,8,6.0,0.16
1035,GiocatoreD24,Torino,D,1,1,49.0,0.5,0.0,0.0,0.0,5.5,21,5.9,0.05
1036,GiocatoreC01,Atalanta,C,54,70,67.0,0.7,0.0,87.6,63.8,111.39999999999999,17,5.6,-0.07
1037,GiocatoreC02,Torino,C,42,57,94.0,0.9,0.0,38.8,23.799999999999997,53.8,27,6.6,-0.16
1038,GiocatoreC03,Inter,C,50,51,78.0,0.8,0.0,40.6,25.3,55.900000000000006,27,5.8,-0.08
1039,GiocatoreC04,Napoli,C,47,49,84.0,0.8,0.0,60.0,41.2,78.8,13,6.9,0.07
1040,GiocatoreC05,Roma,C,37,46,71.0,0.7,0.0,64.0,44.5,83.5,15,7.2,0.19
1041,GiocatoreC06,Atalanta,C,28,30,88.0,0.9,0.0,17.2,6.1,28.299999999999997,21,7.1,-0.04
1042,GiocatoreC07,Torino,C,21,24,80.0,0.8,0.0,22.8,10.700000000000001,34.9,2,7.2,-0.11
1043,GiocatoreC08,Inter,C,20,22,65.0,0.7,0.0,24.4,11.999999999999998,36.8,14,5.9,0.06
1044,GiocatoreC09,Napoli,C,15,19,55.0,0.6,0.0,13.0,2.6999999999999993,23.3,34,6.2,-0.19
1045,GiocatoreC10,Roma,C,15,16,54.0,0.5,0.0,11.5,1.4000000000000004,21.6,2,5.7,-0.03
1046,GiocatoreC11,Atalanta,C,13,15,57.0,0.6,0.0,10.4,0.5,20.3,16,5.6,-0.03
1047,GiocatoreC12,Torino,C,11,14,84.0,0.8,0.0,14.8,4.100000000000001,25.5,12,6.2,-0.17
1048,GiocatoreC13,Inter,C,10,12,58.0,0.6,0.0,14.4,3.8000000000000007,25.0,19,6.8,-0.07
1049,GiocatoreC14,Napoli,C,7,8,70.0,0.7,0.0,0.0,0.0,7.5,24,6.9,0.16
1050,GiocatoreC15,Roma,C,7,8,57.0,0.6,0.0,12.0,1.8000000000000007,22.2,37,6.7,-0.07
1051,GiocatoreC16,Atalanta,C,6,8,77.0,0.8,0.0,7.7,0.0,17.1,10,6.8,-0.09
1052,GiocatoreC17,Torino,C,5,6,74.0,0.7,0.0,7.5,0.0,16.8,12,5.8,-0.18
1053,GiocatoreC18,Inter,C,4,5,74.0,0.7,0.0,4.6,0.0,13.4,36,5.9,0.08
1054,GiocatoreC19,Napoli,C,4,5,53.0,0.5,0.0,13.6,3.1999999999999993,24.0,6,7.1,-0.11
1055,GiocatoreC20,Roma,C,2,3,78.0,0.8,0.0,3.1,0.0,11.7,7,6.4,0.12
1056,GiocatoreC21,Atalanta,C,2,3,94.0,0.9,0.0,13.1,2.6999999999999993,23.5,32,6.4,0.16
1057,GiocatoreC22,Torino,C,1,2,49.0,0.5,0.0,0.0,0.0,7.3,15,7.2,-0.09
1058,GiocatoreC23,Inter,C,1,1,67.0,0.7,0.0,0.0,0.0,2.5999999999999996,21,6.1,0.02
1059,GiocatoreC24,Napoli,C,1,1,53.0,0.5,0.0,4.0,0.0,12.7,4,6.3,-0.07
1060,GiocatoreA01,Inter,A,110,131,43.0,0.4,0.0,148.4,113.7,183.10000000000002,1,7.2,0.11
1061,GiocatoreA02,Napoli,A,43,53,40.0,0.4,0.0,50.3,33.199999999999996,67.4,26,6.6,0.09
1062,GiocatoreA03,Roma,A,47,51,89.0,0.9,0.0,47.2,30.700000000000003,63.7,25,6.9,0.14
1063,GiocatoreA04,Atalanta,A,47,49,94.0,0.9,0.0,53.4,35.8,71.0,37,6.6,-0.19
1064,GiocatoreA05,Torino,A,40,45,47.0,0.5,0.0,46.2,29.900000000000002,62.5,20,6.2,0.15
1065,GiocatoreA06,Inter,A,35,45,92.0,0.9,0.0,41.8,26.299999999999997,57.3,30,5.5,0.02
1066,GiocatoreA07,Napoli,A,39,40,59.0,0.6,0.0,43.6,27.8,59.400000000000006,15,5.9,-0.19
1067,GiocatoreA08,Roma,A,27,37,47.0,0.5,0.0,32.4,18.599999999999998,46.2,13,6.4,-0.1
1068,GiocatoreA09,Atalanta,A,19,24,73.0,0.7,0.0,28.9,15.7,42.099999999999994,19,5.7,-0.19
1069,GiocatoreA10,Torino,A,11,15,77.0,0.8,0.0,10.6,0.6999999999999993,20.5,12,5.7,0.08
1070,GiocatoreA11,Inter,A,12,14,46.0,0.5,3.0,20.0,8.4,31.6,2,6.2,-0.03
1071,GiocatoreA12,Napoli,A,11,14,68.0,0.7,0.0,6.3,0.0,15.399999999999999,31,5.7,0.18
1072,GiocatoreA13,Roma,A,8,10,86.0,0.9,0.0,3.5,0.0,12.1,17,6.7,0.17
1073,GiocatoreA14,Atalanta,A,9,10,66.0,0.7,0.0,15.0,4.300000000000001,25.7,20,7.2,0.13
1074,GiocatoreA15,Torino,A,5,7,88.0,0.9,0.0,0.0,0.0,6.8999999999999995,1,6.5,-0.07
1075,GiocatoreA16,Inter,A,4,5,60.0,0.6,0.0,5.4,0.0,14.4,38,6.9,-0.09
1076,GiocatoreA17,Napoli,A,2,4,92.0,0.9,0.0,1.6,0.0,9.9,30,6.8,-0.0
1077,GiocatoreA18,Roma,A,2,3,45.0,0.5,0.0,0.0,0.0,5.199999999999999,19,6.8,-0.05
1078,GiocatoreA19,Atalanta,A,2,3,59.0,0.6,0.0,0.0,0.0,7.6,19,6.0,-0.15
1079,GiocatoreA20,Torino,A,1,1,47.0,0.5,0.0,0.0,0.0,7.6,11,5.9,0.1
